2025 Summary
Data from: TC_Database_03_2025.db, TC_Database_04_2025.db, TC_Database_05_2025.db, TC_Database_06_2025.db

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
  68.      47307 wavebulgaria                       54,113      S Shi kov                               
  69.      29892 xseap-on                           53,252      EmR ﾞ99[COP]                            
  70.      42816 fastranker1                        52,598      [CSR] Yunos                             
  71.      43231 uf1                                52,511      } uf1                                   
  72.      30277 robb5                              51,761      R obert                                 
  73.      40361 cocusz                             50,989      COCUSZ G25                              
  74.      15790 alexb11                            50,606      [COP] Alex DVU                          
  75.      26116 martynasl                          50,158      LIKE                                    
  76.      20680 zui2000                            49,825      Ou†law™                                 
  77.      38899 luisbarros                         48,782      CHEGA !                                 
  78.      42729 street_stars                       48,035      Bad Driver                              
  79.      35468 norvegas1997                       47,916      ˜ Schnitzel ˜                           
  80.      41992 viktor22                           47,520      Viktor                                  
  81.      12627 Seal..                             47,170      Kamiq                                   
  82.      42343 bigdoa                             45,973      み Npoh                                  
  83.      46978 marcius78                          45,521      Zefkis                                  
  84.      31470 dawid_1000                         45,001      Daweed1k                                
  85.      32208 !luz                               44,607      [ HURRY BUS ] Xëc                       
  86.      42909 lordferius                         43,960      SG ﾏ MadJester                          
  87.      40746 solomanlane                        43,888      [cop] gendarmerie                       
  88.      45440 buntidondo                         43,713      [PACT] Ahmed                            
  89.      44123 kaelo_fx                           43,323      UNC Tour GSP                            
  90.      46087 yetkinbaba                         43,090      Redﾉ Lancer                             
  91.      22001 lavezzi                            42,696      Panda                                   
  92.      40257 kiit1337                           42,659      Redﾉ Highneck¥                          
  93.      38196 laurynas683                        42,520      V M . DejaVu                            
  94.      35337 transit1                           42,181      clio                                    
  95.      11802 Njoan                              40,969      F R ™ Njoan                             
  96.      46816 elbrujodelbosque                   40,323      SOEL                                    
  97.      28151 amarex                             40,003      [ ﾏ ] Rex                               
  98.      40263 subuwu                             39,816      FF 14                                   
  99.      35242 cxzeh                              39,663      [ U D ]Harry. ｯ                         
 100.      44395 006s                               39,543      βч. Azi Z                               

Time:
 Rank    User ID Username                             Time      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                             744      whatalife                               
   2.      39867 racing101                             536      SMOKEY                                  
   3.      44975 eiz                                   470      LunaBelle                               
   4.      37942 isaac68ea                             436      Redﾉ Newton, Isaac                      
   5.      46087 yetkinbaba                            413      Redﾉ Lancer                             
   6.       2107 P V L                                 392      [ DS ] P V L                            
   7.      42317 eetz1                                 382      V M . Eetzi                             
   8.      25215 m52b28                                372      Selling (AFK) Cash                      
   9.      41544 yasso7up                              342      tBug                                    
  10.      43573 wampy                                 329      Wa m py ™                               
  11.      25995 gorkema67                             314      [COP] -dr                               
  12.      12846 DJmad                                 310      insurance fraud.                        
  13.      40659 cgtyksy55                             303      Redﾉ CCTV                               
  14.      36991 forthe                                299      [COP] βч For T                          
  15.      30933 kentwolf                              275      [6S] Feb [COP]                          
  16.      45026 gtaplay                               270      ＰＩＬＯＴ                                   
  17.      41376 glenn quagmire                        270      Glenn Quagmire                          
  18.      41476 p1nhe1r0                              258      P1NHE1RØ                                
  19.      43444 slyvute                               255      [PACT] Traxyss                          
  20.      44395 006s                                  253      βч. Azi Z                               
  21.      23031 ali_dk                                245      ! [COP] M EYSA M                        
  22.      39516 mehmetgulec                           244      ηgμ ｫ japon                             
  23.      40663 muratcan2370                          243      Dapolyon [V900]                         
  24.      39608 y a k u z                             238      V M . Yakuz                             
  25.      36474 akumaz                                227      ηgμ ｫ npc                               
  26.      46227 dragonhi                              226      dragonhi                                
  27.      28892 ibtasim6781                           223      ghutra                                  
  28.      44045 sirac.54_                             217      [PACT] Muffin                           
  29.      29189 cetink.                               214      [ RDSR ] Fearr                          
  30.      46318 nortaf007                             214      ηgμ ｫ nort[RES]                         
  31.      30277 robb5                                 210      R obert                                 
  32.       3895 Piggy501                              207      [TC] ›Nick‹                             
  33.      29964 viktors3232                           199      furzkanone                              
  34.      30093 thatyorkshireman                      199      [TC] ›Yung‹                             
  35.      42004 tdiahmet_                             199      tdiªhmet                                
  36.      45440 buntidondo                            199      [PACT] Ahmed                            
  37.      22120 theponczek                            198      [ RDSR ] Ponczek                        
  38.      40866 01alperen001                          197      RDP • Ali [COP]                         
  39.      46169 grassic                               196      ηgμ ｫ grassic                           
  40.      45351 mrconfidence                          194      WhiteLine License                       
  41.      40722 mes(race)                             192      Redﾉ Flyaway57                          
  42.      41796 countess                              181      ηgμ ｫ countess                          
  43.      41871 emrecansmsk                           180      ( F F ) Emre.C                          
