May 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
  84.      43853 miltontfsi                         15,272      KodiWildDog                             
  85.      16249 nike[lv]                           15,161      SO • Freddy                             
  86.      41476 p1nhe1r0                           14,379      P1NHE1RØ                                
  87.      32287 rikopikomaradon                    14,296      L F W [COP]                             
  88.      42758 andreim_                           14,261      DRIVAAA DAVE (G29)                      
  89.      29892 xseap-on                           13,810      e mirﾞ 99                               
  90.      38407 kella1127                          13,691      [DRIFT] BAK00ZZ                         
  91.      38737 balintka1234                       13,364      G umifüst R acing                       
  92.      46983 shamrox                            13,139      Hy Drous                                
  93.      45961 snipez1234                         13,138      Julio                                   
  94.      30277 robb5                              13,092      R obert                                 
  95.      44249 ionicaa                            12,970      ionicaa G27                             
  96.      43804 ibishucovet1989                    12,253      Danilo                                  
  97.      40746 solomanlane                        12,123      ㄔ Alperen                               
  98.      42500 eduard.kbg                         12,123      CBN                                     
  99.      40388 kramer84                           11,904      Kramer84                                
 100.      44351 manglarn                           11,749      M.ERIKSSON                              

Time:
 Rank    User ID Username                             Time      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                             251      whatalife                               
   2.      44975 eiz                                   148      eiZ#SheesH                              
   3.      25215 m52b28                                138      Buying (TC) Cash                        
   4.      47305 griffin20069                          138      [ LCS- ﾏ] Girfen                        
   5.      39867 racing101                             135      SMOKEY                                  
   6.      43573 wampy                                 125      Wa m py ™                               
   7.      41376 glenn quagmire                        113      Glenn Quagmire                          
   8.      46087 yetkinbaba                            112      Redﾉ Lancer                             
   9.      12846 DJmad                                 102      insurance fraud.                        
  10.      45026 gtaplay                                93      ＰＩＬＯＴ                                   
  11.      40659 cgtyksy55                              91      Redﾉ CCTV                               
  12.      25995 gorkema67                              90      [COP] -dr                               
  13.      41544 yasso7up                               86      tBug                                    
  14.      44045 sirac.54_                              80      [PACT] Muffin                           
  15.      37942 isaac68ea                              79      Redﾉ Newton, Isaac                      
  16.      28892 ibtasim6781                            79      ghutra                                  
  17.      42343 bigdoa                                 77      み Npoh                                  
  18.      28938 speeddemonn                            75      RDP • Speed! [COP]                      
  19.      45440 buntidondo                             75      [PACT] Ahmed                            
  20.      46169 grassic                                74      ηgμ ｫ grassic                           
  21.      39866 duno                                   73      Duno                                    
  22.      23031 ali_dk                                 72      Meysam                                  
  23.       7500 silverracer                            72      Silver                                  
  24.      30093 thatyorkshireman                       70      [TC] ›Yung‹                             
  25.      40722 mes(race)                              69      Redﾉ Flyaway57                          
  26.      30933 kentwolf                               68      [6S] February                           
  27.      46227 dragonhi                               67      dragonhi                                
  28.      30277 robb5                                  65      R obert                                 
  29.      36991 forthe                                 65      [COP] βч For T                          
  30.      46936 zungurt                                62      Zungurt                                 
  31.      43444 slyvute                                59      [PACT] Traxyss                          
  32.      29892 xseap-on                               58      e mirﾞ 99                               
  33.      40193 benray12345                            57      SO • Benray                             
  34.      37317 bayanofmansorofisky                    57      Redﾉ BM                                 
  35.      47361 rafaelgg                               57      RafaelGG                                
  36.      35819 olek250                                56      Ole                                     
  37.      30172 robo1990                               56      dﾞ [COP]ﾏ` ROBO                         
  38.      46318 nortaf007                              56      ηgμ ｫ nort[COP]                         
  39.      40866 01alperen001                           56      [ RDSR ] Ali                            
  40.      39239 jordanvalov                            54      [CSR] Yordan                            
  41.      40242 astraxan                               54      [COP] MOTORHEAD                         
  42.      47400 ebertz                                 53      ALBERTINHO                              
  43.      46757 snst                                   53      [ ﾏ ] SNSﾞ                              
  44.      27785 sir elton john                         53      [TC] ›Chaz‹ [VCU]                       
  45.      42317 eetz1                                  53      V M . Eetzi                             
  46.      43548 suskun068                              52      Swim> TopRat                            
  47.      29421 patryk1967                             52      [TC] ›Wilczek‹                          
  48.      36474 akumaz                                 51      ηgμ ｫ npc                               
  49.      46983 shamrox                                51      Hy Drous                                
  50.      47308 spirit122                              50      Spirit                                  
  51.      47307 wavebulgaria                           50      S Shi kov                               
