Date (GMT) | ID    | Username             | Nick                                | Daily XP's | Total XP | Daily Fines Earned ($) | Total Fines Earned ($) | Daily Playing Time (hours) | Total Playing Time (hours) | Daily Driven Distance (km) | Total Driven Distance (km) | Daily Time Spent Chasing (hours) | Total Time Spent Chasing (hours) | Daily Driven Distance Chasing (km) | Total Driven Distance Chasing (km) | Daily Time Spent Speed Trapping (minutes) | Total Time Spent Speed Trapping (minutes) | Daily Roadblocks Placed | Total Roadblocks Placed
2025-03-11 | 21218 | khaledalshihry       | VM.K3s[COP]                         |        626 |  328,369 |                  2,102 |              1,213,064 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43573 | wampy                | [COP] Wampy™                        |        618 |   39,242 |                    875 |                122,859 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 39413 | baboulinet4          | Baboulinet [COP]                    |        458 |  139,944 |                    666 |                311,476 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43444 | slyvute              | [PACT] Trax [COP]                   |        434 |   20,197 |                  1,378 |                 71,590 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44109 | zoniix               | [PACT]artzs[COP]                    |        347 |    7,570 |                    866 |                 22,242 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40107 | fronzy34             | noob [COP]                          |        344 |  135,803 |                      0 |                312,724 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43674 | maxpower147          | [COP]MaxPower147                    |        331 |    6,435 |                    554 |                 20,888 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 22001 | lavezzi              | [COP]Panda                          |        314 |  160,424 |                      0 |                551,943 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 33219 | ines1                | [COP] KUTX                          |        312 |    2,669 |                  1,883 |                 15,100 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40877 | sametttpe            | dﾞ[COP]ﾏ`samet                      |        264 |  282,357 |                      0 |                841,656 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44045 | sirac.54_            | [PACT] Muff [COP]                   |        264 |   80,769 |                    281 |                366,605 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40818 | dmrzn                | [6S] Dmrzn [COP]                    |        233 |  129,770 |                  4,341 |                435,730 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
